net_type,area_no,train_type,mse_median,nse_median,log_nse_median,atpe_median,rmse_median,bias_median,kge_median,mse_mean,nse_mean,log_nse_mean,atpe_mean,rmse_mean,bias_mean,kge_mean
CNN-GNN-LSTM,10,min_mse,0.021730108186602592,0.733194887638092,0.5812220573425293,0.4133750796318054,0.3054892122745514,0.021999962627887726,0.7624320387840271,0.12408538907766342,0.668888509273529,0.5007215142250061,0.45010092854499817,0.5303776264190674,0.11329682916402817,0.6812960505485535
CNN-GNN-LSTM,10,new,0.02664153091609478,0.6940745115280151,0.6399189233779907,0.44941046833992004,0.3382543921470642,0.10944028198719025,0.6846686601638794,0.11971652507781982,0.6624841094017029,0.6137790083885193,0.518616259098053,0.5243083238601685,0.23709219694137573,0.6293017864227295
CNN-GNN-LSTM,10,max_nse,0.02264021709561348,0.7223443388938904,0.710578441619873,0.43211135268211365,0.31183087825775146,0.06813948601484299,0.6778162717819214,0.11321437358856201,0.6738793253898621,0.6379033923149109,0.5211057066917419,0.5072992444038391,0.2099280059337616,0.6014247536659241
CNN-GNN-LSTM,10,min_mse,0.023883268237113953,0.7214183807373047,0.7159578800201416,0.43223103880882263,0.32027143239974976,0.09416943788528442,0.7289748191833496,0.11316020041704178,0.6604400873184204,0.6449598670005798,0.48018836975097656,0.511715829372406,0.19624845683574677,0.6409879922866821
CNN-LSTM,10,new,0.022263485938310623,0.6549615263938904,0.10598820447921753,0.41126272082328796,0.3091786205768585,0.004042396787554026,0.7617183923721313,0.14618487656116486,0.6370314359664917,-0.23513637483119965,0.39663246273994446,0.5717172622680664,0.021740304306149483,0.7428854703903198
CNN-LSTM,10,max_nse,0.01999942772090435,0.6980698704719543,-0.307675838470459,0.43256962299346924,0.2930181324481964,-0.016684401780366898,0.7754339575767517,0.12499668449163437,0.6898917555809021,-2.4023735523223877,0.40761426091194153,0.5209863185882568,-0.032447449862957,0.7460127472877502
CNN-LSTM,10,min_mse,0.023841850459575653,0.7046067714691162,-0.13177156448364258,0.438728392124176,0.3199181854724884,-0.012027925811707973,0.7372424602508545,0.12279040366411209,0.6693243980407715,-0.762995719909668,0.43475398421287537,0.5201529264450073,0.06107940524816513,0.7077316045761108
LSTM,10,new,0.023483963683247566,0.6771137118339539,0.26357048749923706,0.45608198642730713,0.31742987036705017,0.011281667277216911,0.760108470916748,0.14056992530822754,0.6502821445465088,0.0956365317106247,0.44487640261650085,0.557060956954956,0.08317368477582932,0.7124069929122925
LSTM,10,max_nse,0.02037247084081173,0.6992781162261963,0.5354792475700378,0.4110358953475952,0.29580157995224,0.01685856655240059,0.7544938325881958,0.12301389873027802,0.701347827911377,0.17416474223136902,0.41158977150917053,0.5169772505760193,0.07684841752052307,0.7197080850601196
LSTM,10,min_mse,0.020665619522333145,0.6999058723449707,0.5342330932617188,0.41176632046699524,0.2979215979576111,0.015343384817242622,0.75617915391922,0.12304576486349106,0.699482798576355,0.1757294088602066,0.4120599627494812,0.5175976753234863,0.07732576131820679,0.718162477016449
CNN-GNN-LSTM,13,new,0.009355460293591022,0.9702977538108826,0.971017599105835,0.08540433645248413,0.10635070502758026,0.02023324742913246,0.9742352366447449,0.016462670639157295,0.9208669066429138,0.9513303637504578,0.11818470060825348,0.11853212863206863,0.03791235014796257,0.9190066456794739
CNN-GNN-LSTM,13,max_nse,0.007602456025779247,0.974246084690094,0.9812256097793579,0.07526668161153793,0.09587045013904572,0.007026097737252712,0.9825670719146729,0.015086307190358639,0.9255672097206116,0.9633769989013672,0.10732372105121613,0.11214642226696014,0.009736009873449802,0.9355763792991638
CNN-GNN-LSTM,13,min_mse,0.008150668814778328,0.9725395441055298,0.9717175960540771,0.08755287528038025,0.0992668867111206,0.0015204884111881256,0.9690902829170227,0.015196524560451508,0.9245883226394653,0.9109389185905457,0.12455029040575027,0.11448366940021515,0.010610692203044891,0.9281781911849976
CNN-LSTM,13,new,0.013589122332632542,0.9635593891143799,0.9836057424545288,0.07871478796005249,0.1281750351190567,-0.008087188005447388,0.97237229347229,0.01841217651963234,0.9222415685653687,0.9635752439498901,0.09959497302770615,0.12695862352848053,-0.007277385797351599,0.9263460040092468
CNN-LSTM,13,max_nse,0.008335334248840809,0.9762188196182251,0.9810600280761719,0.07464095950126648,0.10038509219884872,-0.006788080092519522,0.9794518947601318,0.014330287463963032,0.930489718914032,0.9544253945350647,0.10594099014997482,0.11033238470554352,0.002625826746225357,0.9348041415214539
CNN-LSTM,13,min_mse,0.00842646136879921,0.9761849045753479,0.9810523986816406,0.07456915825605392,0.10093235224485397,-0.006798510439693928,0.9798753261566162,0.01435121614485979,0.9304600954055786,0.9543552398681641,0.10592664778232574,0.11041804403066635,0.002641279250383377,0.9348883032798767
LSTM,13,new,0.011776325292885303,0.965684175491333,0.9818925857543945,0.0808158591389656,0.1193198412656784,0.0004937203484587371,0.9639071226119995,0.017911741510033607,0.9196216464042664,0.8215311765670776,0.10389183461666107,0.12438982725143433,-0.00024200204643420875,0.9336674809455872
LSTM,13,max_nse,0.00826910138130188,0.9749391674995422,0.9835965633392334,0.07864375412464142,0.09998547285795212,0.0019202643306925893,0.9659746289253235,0.014885717071592808,0.9282251000404358,0.9368604421615601,0.11299969255924225,0.1132131963968277,0.013157032430171967,0.915864109992981
LSTM,13,min_mse,0.008139340206980705,0.9768201112747192,0.9852147102355957,0.06754379719495773,0.0991978868842125,-0.0004299769061617553,0.9746232032775879,0.014457106590270996,0.9314644932746887,0.9586328864097595,0.09705635160207748,0.11102259159088135,0.007238816469907761,0.932617723941803
CNN-GNN-LSTM,14,new,0.007450680248439312,0.9820352792739868,0.9875963926315308,0.08738597482442856,0.19966143369674683,0.0018748356960713863,0.966797947883606,0.019937664270401,0.9245349764823914,0.4195882976055145,0.15355639159679413,0.261715829372406,0.06372950226068497,0.9103883504867554
CNN-GNN-LSTM,14,max_nse,0.0073347315192222595,0.9830541610717773,0.9867726564407349,0.08459397405385971,0.19864794611930847,-0.01034492440521717,0.969368577003479,0.018997633829712868,0.9313555359840393,0.22066593170166016,0.14483287930488586,0.255442351102829,0.039447374641895294,0.9230155944824219
CNN-GNN-LSTM,14,min_mse,0.00691240606829524,0.9825959205627441,0.9836217164993286,0.09972406923770905,0.19176357984542847,0.021696720272302628,0.9630835056304932,0.015995115041732788,0.9081594347953796,0.330184668302536,0.19480399787425995,0.23976202309131622,0.11253400892019272,0.8668304085731506
CNN-LSTM,14,new,0.008347384631633759,0.9810321927070618,0.9882910251617432,0.08732552081346512,0.20980530977249146,-0.008517416194081306,0.9525407552719116,0.02112230286002159,0.9260692596435547,0.42146366834640503,0.15156051516532898,0.266437828540802,0.04068997874855995,0.9137110114097595
CNN-LSTM,14,max_nse,0.006636003497987986,0.9839040040969849,0.9901074767112732,0.07711002230644226,0.18711432814598083,0.004121297504752874,0.9726303815841675,0.017934909090399742,0.9093980193138123,0.7398337721824646,0.17531970143318176,0.24572989344596863,0.10087627917528152,0.8753164410591125
CNN-LSTM,14,min_mse,0.006019167136400938,0.9832502603530884,0.9793891906738281,0.09168179333209991,0.17935150861740112,0.003786004614084959,0.9787993431091309,0.015779420733451843,0.9090104699134827,-2.1422455310821533,0.16599169373512268,0.23535938560962677,0.013355918228626251,0.9454967379570007
LSTM,14,new,0.007953912019729614,0.981132984161377,0.9902932643890381,0.08358970284461975,0.20716975629329681,0.0070534213446080685,0.9784398674964905,0.02016417495906353,0.9151601791381836,-0.2149197906255722,0.1355762928724289,0.26101920008659363,0.031160634011030197,0.9406571984291077
LSTM,14,max_nse,0.007343503646552563,0.9828784465789795,0.9910565614700317,0.07769352197647095,0.19864046573638916,-0.002050175331532955,0.9729942083358765,0.018470944836735725,0.9085174202919006,-0.6906285285949707,0.1287003606557846,0.25020790100097656,0.009057441726326942,0.9403952956199646
LSTM,14,min_mse,0.006051534786820412,0.9849553108215332,0.9858192205429077,0.09329143166542053,0.18031074106693268,0.020972242578864098,0.9645415544509888,0.015236000530421734,0.9094437956809998,0.5902412533760071,0.3085477948188782,0.233064204454422,0.2420220524072647,0.7373579740524292
CNN-GNN-LSTM,15,new,0.2579670548439026,0.548747181892395,0.5041995048522949,0.5227276086807251,0.6296634078025818,0.04110128432512283,0.5055842399597168,0.5327919721603394,0.4277447462081909,0.4112025797367096,0.613118588924408,0.7110728025436401,0.152311772108078,0.5286712050437927
CNN-GNN-LSTM,15,max_nse,0.1856493055820465,0.646026611328125,0.402529776096344,0.4922937750816345,0.5342451333999634,-0.10582379251718521,0.6508935689926147,0.49115291237831116,0.5255424976348877,-2.4974594116210938,0.5109878182411194,0.6622369289398193,-0.08892690390348434,0.6250317096710205
CNN-GNN-LSTM,15,min_mse,0.18602757155895233,0.6235880851745605,0.44908761978149414,0.5206332802772522,0.5348775386810303,0.0728289932012558,0.6145657300949097,0.4982215464115143,0.5227763652801514,0.20931914448738098,0.595579206943512,0.663479745388031,0.1491556167602539,0.5675613880157471
CNN-LSTM,15,new,0.2913714051246643,0.42854630947113037,0.5892949104309082,0.5779411792755127,0.6692124009132385,0.055332478135824203,0.6130412220954895,0.6035584807395935,0.4022200405597687,0.22116602957248688,0.5546281933784485,0.7556162476539612,0.027805477380752563,0.547119677066803
CNN-LSTM,15,max_nse,0.21061715483665466,0.5368942022323608,0.3811947703361511,0.5590400695800781,0.5690051913261414,0.02407776191830635,0.6255264282226562,0.575889527797699,0.4972842335700989,0.4280158579349518,0.5816231369972229,0.7129164338111877,0.06586465239524841,0.5655629634857178
CNN-LSTM,15,min_mse,0.23062041401863098,0.5204902291297913,0.5188989043235779,0.5409461259841919,0.5954024791717529,0.035688452422618866,0.6663720607757568,0.5622398853302002,0.48003673553466797,0.45826369524002075,0.5264761447906494,0.7137244939804077,0.03166729584336281,0.5837423801422119
LSTM,15,new,0.29681774973869324,0.4806312322616577,0.5508928298950195,0.5698786377906799,0.6755171418190002,0.05028688535094261,0.5343669056892395,0.6588717103004456,0.40769532322883606,0.4582739472389221,0.578231930732727,0.7699254751205444,0.06239200383424759,0.5271235704421997
LSTM,15,max_nse,0.2676256000995636,0.5316564440727234,0.5654024481773376,0.5498225092887878,0.6414765119552612,0.030654771253466606,0.6290493011474609,0.6237707734107971,0.45508673787117004,0.47948768734931946,0.54861980676651,0.744059681892395,0.025752544403076172,0.5423077940940857
LSTM,15,min_mse,0.23595108091831207,0.47572916746139526,0.35030579566955566,0.5408406853675842,0.6012820601463318,-0.02055482380092144,0.6787310838699341,0.597908616065979,0.4706435203552246,-0.020732522010803223,0.5679735541343689,0.7246229648590088,-0.0025990812573581934,0.5764773488044739
CNN-GNN-LSTM,18,new,0.034708332270383835,0.8697160482406616,0.5428982973098755,0.2239692211151123,0.7933980226516724,-0.01136854849755764,0.8417966961860657,0.07842572033405304,0.7544447779655457,0.48742154240608215,0.4672126770019531,0.9537637829780579,0.1786174476146698,0.6694095730781555
CNN-GNN-LSTM,18,max_nse,0.03675980120897293,0.8664302825927734,0.5484539270401001,0.21963319182395935,0.8168522119522095,-0.015529502183198929,0.8146459460258484,0.07992982119321823,0.7690965533256531,0.38478970527648926,0.4210140109062195,0.9601456522941589,0.11252576112747192,0.7106354832649231
CNN-GNN-LSTM,18,min_mse,0.03459429740905762,0.855803370475769,0.7886063456535339,0.25166189670562744,0.7918639183044434,0.08026514947414398,0.8184529542922974,0.07412993907928467,0.7307661175727844,0.5290868282318115,0.9450889229774475,0.9426417350769043,0.7295151948928833,0.19203023612499237
CNN-LSTM,18,new,0.038989920169115067,0.8137160539627075,0.6785723567008972,0.23011444509029388,0.8412426710128784,-0.0029215062968432903,0.8142168521881104,0.09148171544075012,0.7422704100608826,0.5923925638198853,0.3588331639766693,1.0302366018295288,0.061362337321043015,0.7738609313964844
CNN-LSTM,18,max_nse,0.035206183791160583,0.8312368392944336,0.6321401596069336,0.21621766686439514,0.79860520362854,0.024900350719690323,0.8079354763031006,0.08212767541408539,0.7628450393676758,0.5930454134941101,0.4133056700229645,0.9764615893363953,0.14434200525283813,0.7090086936950684
CNN-LSTM,18,min_mse,0.034046757966279984,0.8394790887832642,0.502204418182373,0.21625149250030518,0.7857652902603149,-0.007991824299097061,0.8361607789993286,0.076789490878582,0.7665271759033203,0.43207651376724243,0.3972521424293518,0.953019380569458,0.09103798866271973,0.7461221218109131
LSTM,18,new,0.044339895248413086,0.7914563417434692,0.7274059057235718,0.23519843816757202,0.896754264831543,0.020032618194818497,0.8015955090522766,0.09353572130203247,0.7417196035385132,0.6241968870162964,0.4562131464481354,1.054599642753601,0.160551056265831,0.6784031987190247
LSTM,18,max_nse,0.040344495326280594,0.8227050304412842,0.5536191463470459,0.22105205059051514,0.8555720448493958,0.004302609711885452,0.8173657059669495,0.08152375370264053,0.764818012714386,0.4447985291481018,0.3844503164291382,0.9804862141609192,0.10232625156641006,0.741287350654602
LSTM,18,min_mse,0.03713048994541168,0.8380785584449768,0.6653845906257629,0.23247423768043518,0.8207460641860962,0.03996606171131134,0.8233317136764526,0.07806426286697388,0.7651249170303345,-0.06274978071451187,0.3545151352882385,0.9637898802757263,0.08917196840047836,0.7727640271186829
CNN-LSTM,3,new,0.15908068418502808,0.7424529194831848,0.8376376032829285,0.22158901393413544,0.9821503162384033,0.007582128047943115,0.837556004524231,0.2160530686378479,0.7254576683044434,0.6943352818489075,0.23500798642635345,1.0424518585205078,0.006693667732179165,0.8197659850120544
CNN-LSTM,3,max_nse,0.1360817849636078,0.7612218260765076,0.9176943302154541,0.2135126292705536,0.9083514213562012,0.006951233372092247,0.8396809101104736,0.19804228842258453,0.7592795491218567,0.8423982262611389,0.22803381085395813,0.9882827997207642,0.005974072031676769,0.8115664720535278
CNN-LSTM,3,min_mse,0.1364057958126068,0.758059561252594,0.8906370401382446,0.2255585938692093,0.9094417095184326,0.03502211719751358,0.8272368907928467,0.19503700733184814,0.7568010687828064,0.8161264657974243,0.23738594353199005,0.9867814183235168,0.03377422317862511,0.8123265504837036
CNN-GNN-LSTM,3,new,0.15813663601875305,0.7229609489440918,0.8132857084274292,0.2261008620262146,0.97926926612854,0.010770161636173725,0.8067642450332642,0.23644882440567017,0.6998409628868103,0.6224098801612854,0.24251778423786163,1.0978810787200928,0.005276814568787813,0.7978079915046692
CNN-GNN-LSTM,3,max_nse,0.1309988647699356,0.7504310011863708,0.845207154750824,0.222066268324852,0.8912941813468933,0.012125132605433464,0.7929686307907104,0.2121271938085556,0.7352724671363831,0.6493513584136963,0.23527809977531433,1.0364166498184204,0.0018374028149992228,0.7947078347206116
CNN-GNN-LSTM,3,min_mse,0.1495172530412674,0.738726794719696,0.6377118825912476,0.2415556013584137,0.9522038698196411,0.031861431896686554,0.8102743029594421,0.22518077492713928,0.704012393951416,0.3270682096481323,0.24968189001083374,1.079335331916809,0.028965676203370094,0.7901656031608582
CNN-GNN-LSTM,3,new,0.1408131718635559,0.7571380138397217,0.8948160409927368,0.21286222338676453,0.9239417314529419,-0.0060825226828455925,0.8320424556732178,0.20305168628692627,0.7551043033599854,0.7647838592529297,0.2188311070203781,0.996019721031189,-0.009516294114291668,0.8206276893615723
CNN-GNN-LSTM,3,max_nse,0.12612763047218323,0.7777541875839233,0.859127402305603,0.21324437856674194,0.8745791912078857,0.007329978048801422,0.8318766951560974,0.19298607110977173,0.7717780470848083,0.657569169998169,0.22023175656795502,0.9671931266784668,0.0008271506521850824,0.8154768943786621
CNN-GNN-LSTM,3,min_mse,0.13692522048950195,0.7742220163345337,0.7119429111480713,0.2256963849067688,0.9111849665641785,0.03183988854289055,0.8289104104042053,0.1953239142894745,0.7577385902404785,0.38007381558418274,0.23141729831695557,0.9856867790222168,0.02981712482869625,0.8205124139785767
